no verdict: benchmark host is noisy
  backend.damage.one_cell.p50 (21.04%)
  backend.damage.one_cell.p95 (23.18%)
  backend.damage.one_cell.p99 (29.82%)
  backend.damage.fragmented.p50 (5.76%)
  backend.damage.fragmented.p95 (16.98%)
  backend.damage.fragmented.p99 (15.44%)
  backend.damage.full_screen.p50 (15.55%)
  backend.damage.full_screen.p95 (31.74%)
  backend.damage.full_screen.p99 (36.09%)
  backend.frame.fragmented.p50 (18.31%)
  backend.frame.fragmented.p95 (27.78%)
  backend.frame.fragmented.p99 (43.55%)
  backend.history.input_scan.p50 (10.64%)
  backend.history.input_scan.p95 (16.00%)
  backend.history.input_scan.p99 (18.00%)
  schema.encode.one_cell.p95 (18.75%)
  schema.encode.one_cell.p99 (18.75%)
  schema.encode.fragmented.p95 (8.28%)
  schema.encode.full_screen.p95 (19.24%)
  schema.encode.full_screen.p99 (16.56%)
  schema.decode.one_cell.p50 (7.14%)
  schema.decode.one_cell.p95 (20.00%)
  schema.decode.one_cell.p99 (12.50%)
  schema.decode.full_screen.p50 (7.14%)
  frontend.pipeline.one_cell.p50 (7.81%)
  frontend.pipeline.one_cell.p99 (15.56%)
  frontend.pipeline.fragmented.p95 (9.73%)
  frontend.outbox.input.p50 (22.22%)
  frontend.outbox.input.p95 (20.00%)
  frontend.outbox.input.p99 (27.27%)
  frontend.keybind.route.p95 (17.89%)
  frontend.keybind.route.p99 (20.97%)
  frontend.lua.callback.p95 (12.09%)
  frontend.lua.callback.p99 (12.91%)
  frontend.pacer.late_frame.p95 (50.00%)
  frontend.pacer.late_frame.p99 (50.00%)
  frontend.client_ui.chrome.tabs_1.p50 (8.45%)
  frontend.client_ui.chrome.tabs_1.p95 (49.73%)
  frontend.client_ui.chrome.tabs_1.p99 (63.13%)
  frontend.client_ui.chrome.tabs_8.p50 (19.22%)
  frontend.client_ui.chrome.tabs_8.p95 (27.22%)
  frontend.client_ui.chrome.tabs_8.p99 (43.37%)
  frontend.client_ui.chrome.tabs_64.p50 (16.70%)
  frontend.client_ui.chrome.tabs_64.p95 (21.13%)
  frontend.client_ui.chrome.tabs_64.p99 (14.60%)
  frontend.layout.directional_focus.p50 (20.77%)
  frontend.layout.directional_focus.p95 (26.12%)
  frontend.layout.directional_focus.p99 (26.47%)
  frontend.multiplexer.compose_four.p95 (8.81%)
  frontend.multiplexer.patch_one_cell.p50 (24.00%)
  frontend.multiplexer.patch_one_cell.p95 (28.66%)
