  PID  PPID  %CPU    RSS COMM
    1     0   0.2  13856 /sbin/launchd
  494     1   6.3  36768 /Users/adriangonzalez/Applications/Telar.app/Contents/Resources/bin/telar
  505     1   0.0  19728 /Users/adriangonzalez/Applications/Telar.app/Contents/Resources/bin/telar
  510   505   0.0   4416 node
  527   510   0.0  26688 /opt/homebrew/lib/node_modules/@openai/codex/node_modules/@openai/codex-darwin-arm64/vendor/aarch64-apple-darwin/bin/codex
  530     1   0.1  13920 /usr/libexec/logd
  532     1   0.0   7872 /usr/libexec/UserEventAgent
  534     1   0.4   6080 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  535     1   0.0   6080 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  538     1   0.0   7104 /usr/sbin/systemstats
  542     1   0.0   7488 /usr/libexec/configd
  544     1   0.0   7232 /System/Library/CoreServices/powerd.bundle/powerd
  545     1   0.0   1408 /usr/libexec/IOMFB_bics_daemon
  549     1   0.0   3280 /usr/libexec/remoted
  553     1   0.0    928 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  555     1   0.0   2080 /usr/libexec/watchdogd
  559     1   0.6  16256 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  561     1   0.0   2304 /usr/libexec/kernelmanagerd
  562     1   0.0   3808 /usr/libexec/diskarbitrationd
  566     1   0.0   1648 /usr/sbin/syslogd
  568     1   0.0   2928 /usr/libexec/thermalmonitord
  569     1   0.0   8096 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  570     1   0.0   3936 /usr/libexec/xprotectd
  571     1   0.5   6816 /usr/libexec/opendirectoryd
  572     1   0.0   7248 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  573     1   0.0   7856 /System/Library/CoreServices/launchservicesd
  574     1   0.0   3024 /usr/libexec/timed
  575     1   0.0   1648 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  576     1   0.0   6160 /usr/sbin/securityd
  578     1   0.0  16784 /usr/libexec/locationd
  579     1   0.0   3536 /usr/libexec/nesessionmanager
  581     1   0.0   1216 autofsd
  582     1   0.0  16880 /usr/libexec/dasd
  583     1   0.0   2208 /usr/libexec/corerepaird
  585     1   0.0   2736 /usr/sbin/distnoted
  589     1   0.0   2224 /System/Library/CoreServices/logind
  590     1   0.0   3728 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  591     1   0.0    864 /usr/sbin/KernelEventAgent
  595     1   0.0  14256 /usr/sbin/bluetoothd
  596     1   0.1   3664 /usr/sbin/notifyd
  598     1   0.0   4768 /usr/libexec/corebrightnessd
  599     1   0.0   2240 /usr/libexec/AirPlayXPCHelper
  600     1   0.0   3968 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  604     1   0.0  13520 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  605     1   0.0   4448 /usr/sbin/cfprefsd
  608     1   0.0  11168 /usr/libexec/runningboardd
  609     1   0.0   4240 /System/Library/CoreServices/coreservicesd
  610     1  10.0  45008 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  612     1   1.2  14864 /usr/sbin/coreaudiod
  618     1   0.0   3120 /usr/libexec/apfsd
  621     1   0.0   9632 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  631     1   0.0   8672 /usr/libexec/lsd
  632     1   0.0   7152 /usr/libexec/ApplicationFirewall/socketfilterfw
