  PID  PPID  %CPU    RSS COMM
    1     0   0.1   8480 /sbin/launchd
  494     1   0.4  39184 /Users/adriangonzalez/Applications/Telar.app/Contents/Resources/bin/telar
  505     1   0.0  15504 /Users/adriangonzalez/Applications/Telar.app/Contents/Resources/bin/telar
  510   505   0.0   4416 node
  527   510   0.0  24320 /opt/homebrew/lib/node_modules/@openai/codex/node_modules/@openai/codex-darwin-arm64/vendor/aarch64-apple-darwin/bin/codex
  530     1   0.2   7696 /usr/libexec/logd
  532     1   0.0   5776 /usr/libexec/UserEventAgent
  534     1   0.9   5104 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  535     1   0.0   4352 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  538     1   0.0   3344 /usr/sbin/systemstats
  542     1   0.0   4816 /usr/libexec/configd
  544     1   0.0   5872 /System/Library/CoreServices/powerd.bundle/powerd
  545     1   0.0   1408 /usr/libexec/IOMFB_bics_daemon
  549     1   0.0   1936 /usr/libexec/remoted
  553     1   0.0    928 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  555     1   0.0   1760 /usr/libexec/watchdogd
  559     1   0.1  15872 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  561     1   0.0   2304 /usr/libexec/kernelmanagerd
  562     1   0.0   3696 /usr/libexec/diskarbitrationd
  566     1   0.0    512 /usr/sbin/syslogd
  568     1   0.0   2576 /usr/libexec/thermalmonitord
  569     1   0.0   6656 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  570     1   0.0   2304 /usr/libexec/xprotectd
  571     1   0.0   6144 /usr/libexec/opendirectoryd
  572     1   0.0   5120 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  573     1   0.0   5984 /System/Library/CoreServices/launchservicesd
  574     1   0.0   2912 /usr/libexec/timed
  575     1   0.0   1728 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  576     1   0.0   4032 /usr/sbin/securityd
  578     1   0.0  11856 /usr/libexec/locationd
  579     1   0.0   4160 /usr/libexec/nesessionmanager
  581     1   0.0   1216 autofsd
  582     1   0.0   7216 /usr/libexec/dasd
  583     1   0.0   2208 /usr/libexec/corerepaird
  585     1   0.2   2528 /usr/sbin/distnoted
  589     1   0.0   2224 /System/Library/CoreServices/logind
